   ,CUSTOMER_CODE,ORDER_COUNT,SALES_VALUE_LAKHS
3403,000000009001528,218,5129.41
1473,000000009005260,217,5634.26
1055,000000009002268,216,327.85
512,000000009002093,213,2148
1033,000000009004786,213,8327.94
479,000000009005010,212,4334.04
596,000000009003624,209,4456.99
2391,000000009001198,209,4242.12
91,000000009011659,209,14412.46
1012,000000009002041,208,950.09
30,000000009002347,207,273.56
546,000000009011394,206,3177.06
5,000000009000224,205,3198.78
2822,000000009001478,203,5054.74
2840,000000009011397,200,2693.34
2340,000000009001615,198,2844.78
2464,000000009004055,198,5438.79
545,000000009000313,197,2943.07
15,000000009002746,195,2356.44
986,000000009001536,195,2098.76
45,000000009004715,194,4847.77
3333,000000009004666,193,8240.55
32,000000009007867,193,823.22
2001,000000009013325,192,2509.19
2369,000000009007320,192,4683.74
2381,000000009001271,192,3059.82
1423,000000009001602,191,1268.25
1047,000000009004301,191,171.91
1030,000000009005164,191,303.67
3354,000000009013092,190,616.17
1446,000000009002114,189,4814.14
2902,000000009002035,188,16780.05
964,000000009000801,187,2760.35
1068,000000009013205,187,3153.81
1952,000000009001713,186,6694.09
2469,000000009000108,185,3711.88
2882,000000009001441,184,8291.59
66,000000009011398,183,1690.29
1425,000000009005737,182,4056.87
2345,000000009005991,182,7186.19
1000,000000009000269,181,9954.35
1494,000000009002839,181,10161.23
953,000000009001338,180,6975.82
586,000000009004532,180,3468.45
1965,000000009011465,179,1936.69
1487,000000009004429,179,12769.77
1076,000000009004677,178,4124.42
48,000000009012203,177,7513.16
513,000000009000941,176,2672.52
1443,000000009001346,176,7605.12
974,000000009000345,174,3225.36
1924,000000009002723,174,1173.16
39,000000009001376,174,4567.48
1909,000000009002718,174,1198.78
161,000000009013199,173,2799.23
994,000000009004782,173,264.48
35,000000009013323,172,2415.53
2365,000000009002716,171,1248.91
993,000000009001085,171,3061.33
3321,000000009001440,169,924.66
2453,000000009002199,168,7429.13
2450,000000009001349,167,3560.23
3477,000000009016104,167,5585.62
2366,000000009000113,166,3832.87
1475,000000009001530,166,2956.98
1929,000000009002141,164,631.99
2898,000000009000215,164,984.18
1901,000000009011423,164,3785.52
604,000000009014031,164,5764.71
1917,000000009000133,163,2360.18
2433,000000009008360,163,898.78
2900,000000009001303,163,4894.69
2449,000000009013405,161,2214.62
1503,000000009001355,161,3309.07
500,000000009000943,160,1547.53
60,000000009013139,160,2807.02
2376,000000009002269,159,1480.75
2338,000000009000927,159,2188.46
1465,000000009001013,159,2246.33
1999,000000009015987,158,3806.99
73,000000009011552,158,1863.91
966,000000009001292,158,3752.04
959,000000009001088,157,3705.41
2362,000000009000792,157,1002.92
2861,000000009013505,157,2035.07
1003,000000009009312,156,224.18
572,000000009001687,156,5040.48
1015,000000009000855,155,3201.49
42,000000009006817,155,2132.49
568,000000009000829,155,5111.89
1455,000000009002194,154,1771.39
3406,000000009001273,153,2543.34
617,000000009000819,152,916.08
2872,000000009002391,152,1055.65
2874,000000009002237,151,990.94
2428,000000009008709,151,7232.78
2932,000000009002732,151,828.12
13,000000009001549,151,1821.31
1036,000000009001722,150,2055.8
3320,000000009000961,150,1982.81
3341,000000009001461,149,228.32
980,000000009000359,149,1097.58
3,000000009001228,149,184.19
2846,000000009010606,149,4561.32
1022,000000009000353,149,1458.34
2905,000000009004607,148,1516.25
3311,000000009001541,148,2660.74
1470,000000009002607,148,3274.38
102,000000009011265,148,761.59
508,000000009002179,147,1445.25
82,000000009002145,147,2232.14
2509,000000009001782,147,5217.88
3306,000000009012558,147,66.17
1912,000000009008408,146,635.05
2887,000000009001967,146,1771.4
482,000000009005304,145,4406.75
1458,000000009002843,144,1151.51
3423,000000009014684,143,2062.97
1893,000000009004570,143,3469.6
1469,000000009004412,143,1218.79
1945,000000009001857,143,3844.93
2337,000000009010659,142,219.31
2851,000000009004714,142,1249.32
1054,000000009011374,141,2376.05
1568,000000009016999,139,6614.92
1947,000000009012848,139,452.94
550,000000009000189,139,854.71
3356,000000009001453,138,632.22
2454,000000009013382,138,3528.33
154,000000009015922,138,3866.65
1906,000000009005044,137,2338.56
2417,000000009000008,137,902.58
1065,000000009001581,137,3435.16
488,000000009005609,136,3285.09
970,000000009001838,136,1274.17
93,000000009014379,136,5920.21
3447,000000009014013,135,8004.18
1006,000000009007072,134,1207.92
979,000000009002185,134,1401.76
3360,000000009011232,134,645.82
2379,000000009010211,133,8517.97
2401,000000009011521,132,1351.35
1516,000000009011392,131,3441.76
961,000000009002982,131,143.99
2854,000000009013274,130,1716.45
595,000000009010911,129,2506.28
71,000000009001160,129,629.74
3334,000000009004631,129,854.96
2856,000000009000028,128,1284.26
1429,000000009002285,128,1809.68
2899,000000009001851,128,2933.58
547,000000009002789,127,669.61
2468,000000009013856,126,1324.6
616,000000009016009,126,162.93
3398,000000009012868,125,2329.14
501,000000009007147,125,694.28
2847,000000009001424,125,1433.14
2378,000000009002108,124,2313.69
1935,000000009002371,124,656.29
3412,000000009001091,124,5879.91
126,000000009011098,124,3539.09
2964,000000009002420,124,1768.51
3411,000000009001568,124,988.76
2427,000000009008483,122,1974.15
1976,000000009004564,122,1250.94
3456,000000009015545,121,4234.04
76,000000009002598,121,875.04
2460,000000009001752,120,1172.52
571,000000009002020,120,2725.69
963,000000009000056,120,1491.56
2367,000000009000440,120,4625.86
1541,000000009000781,120,1459.77
2351,000000009007878,120,864.03
502,000000009011355,119,1749.01
2951,000000009000859,119,710.64
2884,000000009004790,118,139.61
2006,000000009000255,118,3522.11
1083,000000009013415,118,1104.3
3468,000000009015942,117,1616.19
2377,000000009000341,117,1142.89
2921,000000009007395,116,1095.66
3401,000000009011399,116,1392.65
569,000000009001361,116,718.26
992,000000009001274,115,613.77
125,000000009000791,115,1114.41
87,000000009000414,114,1287.27
628,000000009016299,114,1344.87
1969,000000009001258,114,1668.87
3375,000000009011446,114,139.59
3444,000000009002473,113,131.48
23,000000009001852,113,147.62
1020,000000009001018,112,831.02
3424,000000009002292,111,726.18
997,000000009001112,111,839.13
2865,000000009013272,111,1071.41
1025,000000009005269,111,1689.17
1959,000000009013259,111,1493.77
2912,000000009010919,110,3356.45
3313,000000009004682,110,381.77
1008,000000009000622,110,1173.58
956,000000009011817,110,1459.36
1518,000000009007910,109,3259.54
3337,000000009000966,108,670.97
1905,000000009008986,108,1155.62
2844,000000009008370,107,506.25
2838,000000009011379,107,2218.15
3438,000000009009831,107,1416.72
1063,000000009004383,105,1099.64
1454,000000009002443,105,1684.46
2843,000000009000898,105,3123.9
3330,000000009002830,104,1759.54
2451,000000009003920,104,553.55
2462,000000009013206,104,1027.02
1933,000000009002303,103,638.29
2368,000000009001648,103,377.59
3388,000000009000265,103,2957.55
576,000000009014016,102,136.7
3355,000000009002727,102,520.92
558,000000009000071,102,1118.54
2897,000000009004636,101,4791.58
44,000000009013138,101,2590.85
7,000000009001535,100,1713.38
1010,000000009000205,100,859.28
3418,000000009010299,100,843.08
2349,000000009000452,99,124.13
1526,000000009001878,99,2931.78
2400,000000009001059,99,238.87
1426,000000009000480,99,1764.53
1942,000000009004643,98,2506.1
107,000000009014325,98,1867.89
3463,000000009004918,98,2579.52
113,000000009002448,98,136.78
3025,000000009001172,98,904.11
962,000000009004574,97,1281.52
1431,000000009001363,97,1123.94
1888,000000009002872,97,1168.21
1879,000000009000462,96,119.83
2925,000000009001588,96,1115.92
543,000000009001459,95,628.64
1939,000000009007151,95,614
1483,000000009000434,95,1009.55
1549,000000009000931,95,601.82
2969,000000009015337,95,33.73
541,000000009000698,95,5.65
2498,000000009015783,95,2402.75
538,000000009000411,94,912.54
2875,000000009007156,94,608.18
2914,000000009001379,94,30.07
2390,000000009004774,94,723.75
1943,000000009011233,94,930.77
1061,000000009000262,94,2851.46
1902,000000009004785,94,1099.69
3314,000000009009046,94,2201.97
62,000000009013209,94,1350.62
1088,000000009011475,94,2263.78
3451,000000009014746,94,109.79
1130,000000009013141,93,1908.65
1892,000000009001452,93,550.23
2485,000000009010258,93,1295.02
2017,000000009016318,93,4558.52
84,000000009013793,93,386.03
1508,000000009012474,93,438.51
3386,000000009000063,93,973.05
28,000000009004784,93,121.24
981,000000009005614,93,2033.44
1080,000000009000407,93,296.93
544,000000009002298,92,136.64
3029,000000009000286,92,2048.52
2030,000000009002122,92,392.42
3001,000000009015958,92,2186.24
1996,000000009015919,91,1633.11
16,000000009008110,91,460.67
1505,000000009013284,91,2963.89
492,000000009002042,90,1088.02
984,000000009001179,90,1011.79
2831,000000009000593,90,1655.44
2979,000000009006242,90,4391.27
1059,000000009002421,90,1235.23
2885,000000009001181,90,1317.51
515,000000009004973,89,746.92
1468,000000009008488,89,1732.71
1903,000000009002233,89,150.1
1486,000000009001801,89,2510.97
65,000000009011447,88,137.12
56,000000009013234,87,1078.81
978,000000009007851,87,1363.01
2414,000000009008482,87,1075.21
2908,000000009013391,86,1491.67
578,000000009001121,86,350.72
2516,000000009002356,86,1077.8
2519,000000009009052,86,1530.14
2966,000000009007843,86,1121.13
3318,000000009001501,85,1859.14
3387,000000009010105,85,1959.15
2486,000000009001531,85,602.92
174,000000009006048,84,588.11
2383,000000009010106,84,1453.7
2005,000000009006071,84,1497.61
1044,000000009002861,84,1288.76
972,000000009010065,83,1259.54
1460,000000009004442,83,5194.61
3431,000000009010977,83,2516.95
1921,000000009000850,83,1213.59
80,000000009002171,83,4410.04
1988,000000009010951,82,1411.24
63,000000009000145,82,627.74
2947,000000009014866,82,1906.54
2395,000000009005615,82,1923.64
1895,000000009012265,82,637.92
1050,000000009002472,82,1193.25
2502,000000009000714,82,1956.03
1598,000000009007942,82,3320.19
2858,000000009001141,81,477.66
2943,000000009002155,80,464.97
1951,000000009001767,80,845.39
1497,000000009013754,80,2469.17
1954,000000009004968,79,1915.41
147,000000009015882,79,1933.05
1512,000000009014749,79,531.45
1944,000000009001971,79,2173.64
3349,000000009002819,79,1892.97
2020,000000009000144,79,1478.29
57,000000009001523,79,927.91
1493,000000009000890,78,831.58
2514,000000009015129,78,2610.77
3363,000000009009541,78,1720.69
2458,000000009002747,78,249.63
1983,000000009010988,78,3489.26
2997,000000009000182,78,920.51
14,000000009001319,78,469.24
2388,000000009001636,78,1677.18
3471,000000009015590,78,333.01
2971,000000009001678,77,828.24
2883,000000009010554,77,876.17
2487,000000009005769,76,972.04
2023,000000009014528,76,2075.37
1491,000000009010194,76,264.72
3485,000000009015971,76,848.61
112,000000009001738,76,463.76
1060,000000009007587,76,567.27
1551,000000009004971,76,1995.78
2939,000000009013986,76,3028.02
3391,000000009002032,75,954.8
615,000000009016003,75,664.76
2422,000000009011815,75,465.77
1934,000000009001086,75,1608.16
2880,000000009008675,75,3694.3
3379,000000009002248,75,1289.31
2928,000000009013432,74,402.97
1017,000000009001416,74,3112.81
1024,000000009008987,74,784.3
2363,000000009002593,74,1044.33
1484,000000009001032,74,1091.65
960,000000009009577,73,47.09
1452,000000009009147,73,508.41
493,000000009005468,73,1162.43
1014,000000009013503,72,1442.24
516,000000009001836,72,240.77
2014,000000009001719,72,558.46
3310,000000009011013,72,2145.77
1887,000000009001261,71,754.13
620,000000009016001,71,597.4
573,000000009007855,71,1054.68
1984,000000009002088,71,673.99
1097,000000009009247,71,1852.18
2473,000000009014851,71,976.98
1071,000000009001923,71,709.7
542,000000009000273,71,121.03
2029,000000009000616,71,967.28
2916,000000009008109,70,610.15
1453,000000009013104,70,552.25
2424,000000009013275,70,881.14
1480,000000009013235,70,1191.97
2819,000000009002271,70,16.6
95,000000009002345,70,11.75
3005,000000009015996,69,1558.95
185,000000009015872,69,2389.16
1479,000000009002187,69,585.92
1910,000000009013278,69,854.22
58,000000009000912,68,705.88
2544,000000009017384,68,47.89
638,000000009001123,68,1494.58
1914,000000009008960,68,2368.03
2410,000000009001199,68,689.41
2479,000000009013342,67,2235.92
549,000000009011590,67,634.34
1098,000000009013200,67,599.78
3351,000000009011784,67,1624
2869,000000009000181,67,318.26
1448,000000009004907,67,842.37
19,000000009000833,66,564.05
3376,000000009000826,66,309.37
539,000000009007997,66,1556.45
1124,000000009010920,66,2970.43
2863,000000009013311,65,536.96
203,000000009016006,65,804.82
